Driver Name,Driver Source Path,Driver Version,PackageID,PackageName,DP Source Path
Dell Wireless 5730 Sprint Mobile Broadband (EVDO Rev-A) Minicard Network Adapter,\\sccm-mth1.asc.ohio-state.edu\source$\driversource\Win7\lat_e6430\win7\x64\communication\004F8_A00-00\production,4.1.2.40,MTH00075,Latitude e6430 Win7,\\sccm-mth1.asc.ohio-state.edu\source$\driverpackages\Win7\latitude-e6430
DW5800 Power Management,\\sccm-mth1.asc.ohio-state.edu\source$\driversource\Win7\lat_e6430\win7\x64\communication\004F8_A00-00\production,1.0.0.7,MTH00075,Latitude e6430 Win7,\\sccm-mth1.asc.ohio-state.edu\source$\driverpackages\Win7\latitude-e6430
Dell Wireless 5630 (EVDO-HSPA) Mobile Broadband Mini-Card (Composite WWAN Device) USB Composite Device,\\sccm-mth1.asc.ohio-state.edu\source$\driversource\Win7\lat_e6430\win7\x64\communication\004F8_A00-00\production,1.0.0.1,MTH00075,Latitude e6430 Win7,\\sccm-mth1.asc.ohio-state.edu\source$\driverpackages\Win7\latitude-e6430
Dell Wireless 5630 (EVDO-HSPA) Mobile Broadband Mini-Card (Composite WWAN Device) GPS Port,\\sccm-mth1.asc.ohio-state.edu\source$\driversource\Win7\lat_e6430\win7\x64\communication\004F8_A00-00\production,1.0.0.4,MTH00075,Latitude e6430 Win7,\\sccm-mth1.asc.ohio-state.edu\source$\driverpackages\Win7\latitude-e6430
Dell Wireless 5630 (EVDO-HSPA) Mobile Broadband Mini-Card (Composite WWAN Device) GPS Port,\\sccm-mth1.asc.ohio-state.edu\source$\driversource\Win7\lat_e6430\win7\x64\communication\004F8_A00-00\production,1.0.0.2,MTH00075,Latitude e6430 Win7,\\sccm-mth1.asc.ohio-state.edu\source$\driverpackages\Win7\latitude-e6430
Dell Wireless 5630 (EVDO-HSPA) Mobile Broadband Mini-Card Modem,\\sccm-mth1.asc.ohio-state.edu\source$\driversource\Win7\lat_e6430\win7\x64\communication\004F8_A00-00\production,1.0.0.4,MTH00075,Latitude e6430 Win7,\\sccm-mth1.asc.ohio-state.edu\source$\driverpackages\Win7\latitude-e6430
Dell Wireless 5630 (EVDO-HSPA) Mobile Broadband Mini-Card (Composite WWAN Device) QDLoader Port,\\sccm-mth1.asc.ohio-state.edu\source$\driversource\Win7\lat_e6430\win7\x64\communication\004F8_A00-00\production,1.0.0.4,MTH00075,Latitude e6430 Win7,\\sccm-mth1.asc.ohio-state.edu\source$\driverpackages\Win7\latitude-e6430
Dell Wireless 5630 (EVDO-HSPA) Mobile Broadband Mini-Card (Composite WWAN Device) Network Adapter,\\sccm-mth1.asc.ohio-state.edu\source$\driversource\Win7\lat_e6430\win7\x64\communication\004F8_A00-00\production,1.0.0.8,MTH00075,Latitude e6430 Win7,\\sccm-mth1.asc.ohio-state.edu\source$\driverpackages\Win7\latitude-e6430
Dell Wireless 5630 (EVDO-HSPA) Mobile Broadband Mini-Card (Composite WWAN Device) Network Adapter,\\sccm-mth1.asc.ohio-state.edu\source$\driversource\Win7\lat_e6430\win7\x64\communication\004F8_A00-00\production,1.0.0.8,MTH00075,Latitude e6430 Win7,\\sccm-mth1.asc.ohio-state.edu\source$\driverpackages\Win7\latitude-e6430
Dell Wireless 5700 Mobile Broadband (CDMA EV-DO) Minicard,\\sccm-mth1.asc.ohio-state.edu\source$\driversource\Win7\lat_e6430\win7\x64\communication\004F8_A00-00\production,3.0.32.0,MTH00075,Latitude e6430 Win7,\\sccm-mth1.asc.ohio-state.edu\source$\driverpackages\Win7\latitude-e6430
DW5800 4G (LTE-3G) Mobile Broadband Mini-Card Network Adapter,\\sccm-mth1.asc.ohio-state.edu\source$\driversource\Win7\lat_e6430\win7\x64\communication\004F8_A00-00\production,1.1.29.0,MTH00075,Latitude e6430 Win7,\\sccm-mth1.asc.ohio-state.edu\source$\driverpackages\Win7\latitude-e6430
